"Имя","Описание","Категории","Изображения","Базовая цена","Артикул","Цвет","Объем","Количество","Тип Товара"
"1 флакон 7.5 мл UR SUGAR Soak Off UV гель-лак Yellow Series Pure-Color Nail Art Гель-лак 617-632","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: 16 colors avalaible, as the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible)
 
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/40914/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40914/1.jpg, https://www.bornprettystore.com/images/ProPho/40914/2.jpg, https://www.bornprettystore.com/images/ProPho/40914/3.jpg, https://www.bornprettystore.com/images/ProPho/40914/4.jpg","358.8","40914","16 цветов доступны, как показывают фотографии","7.5ml","1 бутылка",""
"6 мл Серебристый Цвет Штамповка Лак Для Ногтей Штамповка Лак BP-WN02 Time Fly","
 Specification:
Brand: BORN PRETTY
Quantity: 1 Bottle
Capacity: Approx. 6ml
Color: Silver
 
Package Contents:
1 Bottle 6ml BORN PRETTY Stamping Polish
 
Feature:
Special nail polish for nail art stamping and printing colors.
Superior Quality and brand new merchandise.
Simple to use: Shake or stir very well before use.
Attractive Color.
Dry fast.

NOTICE:
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible) 
","stamping nails > stamping polish","https://www.bornprettystore.com/images/ProPho/48432/dsc.jpg, https://www.bornprettystore.com/images/ProPho/48432/1.jpg, https://www.bornprettystore.com/images/ProPho/48432/2.jpg, https://www.bornprettystore.com/images/ProPho/48432/3.jpg, https://www.bornprettystore.com/images/ProPho/48432/4.jpg","478.8","48432","Серебряный","Прибл. 6ml","1 бутылка",""
"Штамповка Пластины Животных Тема Изображение Прямоугольник Шаблон Nail Art BP-L025","
  Specification: 
100% new retail
Size:12.5 x 6.5cm

Package Contents :
1Pc BORN PRETTY Nail Stamping Plate 

Instructions: 
The plate is shielded by a thin transparent protective film, please remove the film before use, so that the nail polish can be transferred by the stamper. 
 Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the above steps for all of your nails. 
7. After nail art stamping, apply top coat for lasting wear. Click here to see the Product Review

 
","stamping nails > stamping plates","https://www.bornprettystore.com/images/ProPho/20795/dsc.jpg, https://www.bornprettystore.com/images/ProPho/20795/1.jpg, https://www.bornprettystore.com/images/ProPho/20795/2.jpg, https://www.bornprettystore.com/images/ProPho/20795/3.jpg, https://www.bornprettystore.com/images/ProPho/20795/4.jpg","358.8","20795","Как на изображении товара","","",""
"Nail Art Зеркальная пудра Красочное золото Шампанское Серебро Фиолетовый Розовый Металлический эффект Пыль с блестками для ногтей","
 Specification :
Quantity: 1 Box
Material: Powder
Color: 15 Colors for Choose
Net weight: Approx. 1 g

Package Contents:
1 Box Nail Powder

Features:
100% brand new and high quality.
Nail decoration. 
Strong mirror effect under strong light.
Easy to apply on natural or artificial nails.

How to use:
1. Prepare your nails with UV BASE COAT, UV Gel Polish.
2. Apply No-wipe UV TOP COAT, cure it under UV lamp or LED lamp until it is totally dry.
3. Use eyeshadow stick to pick the powder and burnish it onto your nails
4. Repeat the step 2&amp;3 until you're satisfied with the effect.
5. Seal it with UV TOP COAT, and cure it under UV/LED lamp.
 
","nail glitter > mirror nail powder","https://www.bornprettystore.com/images/ProPho/46283/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46283/1.jpg, https://www.bornprettystore.com/images/ProPho/46283/2.jpg, https://www.bornprettystore.com/images/ProPho/46283/3.jpg, https://www.bornprettystore.com/images/ProPho/46283/4.jpg","394.8","46283","15 цветов на выбор","","1 коробка",""
"6 мл Nature Series Чистый цвет гель для ногтей Детские ногти впитывают УФ-лак для ногтей","
 Specification:
Brand: BORN PRETTY
Quantity: 1 Bottle
Capacity: 6ml
Color: As the pictures show

Package Contents:
1 Bottle 6ml BORN PRETTY Pure-Color Gel

Feature: 
100% New retail and high quality.
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

NOTICE:
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)


  
","uv gel > pure uv gel","https://www.bornprettystore.com/images/ProPho/42874/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42874/1.jpg, https://www.bornprettystore.com/images/ProPho/42874/2.jpg, https://www.bornprettystore.com/images/ProPho/42874/3.jpg, https://www.bornprettystore.com/images/ProPho/42874/4.jpg","478.8","42874","Как на изображении товара","6ml","1 бутылка",""
"Штамповка Тарелки Моряки и Море Парусный спорт Темы изображения Nail Art Template BP-33","
  Specification: 
100% new retail
Diameter: 5.5cm

Package Contents :
1pc BORN PRETTY Nail Stamping Plate 

Instructions: 
The plate is shielded by a thin transparent protective film, please remove the film before use, so that the nail polish can be transferred by the stamper. 
 Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the above steps for all of your nails. 
7. After nail art stamping, apply top coat for lasting wear.  
","stamping nails > stamping plates","https://www.bornprettystore.com/images/ProPho/17916/dsc.jpg, https://www.bornprettystore.com/images/ProPho/17916/1.jpg, https://www.bornprettystore.com/images/ProPho/17916/2.jpg, https://www.bornprettystore.com/images/ProPho/17916/3.jpg, https://www.bornprettystore.com/images/ProPho/17916/4.jpg","310.8","17916","Как на изображении товара","","",""
"Штамповка Тарелки Цветочные Листья Виноградного Изображения Прямоугольник Шаблон Nail Art BP-L026","
  Specification: 
100% new retail
Size:12.5 x 6.5cm

Package Contents :
1Pc BORN PRETTY Nail Stamping Plate 

Instructions: 
The plate is shielded by a thin transparent protective film, please remove the film before use, so that the nail polish can be transferred by the stamper. 
 Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the above steps for all of your nails. 
7. After stamp nail design, apply top coat for lasting wear. 
 
","stamping nails > stamping plates","https://www.bornprettystore.com/images/ProPho/21812/dsc.jpg, https://www.bornprettystore.com/images/ProPho/21812/1.jpg, https://www.bornprettystore.com/images/ProPho/21812/2.jpg, https://www.bornprettystore.com/images/ProPho/21812/3.jpg, https://www.bornprettystore.com/images/ProPho/21812/4.jpg","478.8","21812","Как на изображении товара","","",""
"UR SUGAR 7.5 мл УФ-гель для ногтей с розовым золотом и гель-лаком для ногтей Nude Pink Soak Off Nail Gel Varnish","
 Specification: 
Brand:UR SUGAR
Brand Slogan:EVERY DAY IS SWEET AS SUGAR              
Type:Glitter Gel Polish
Color Chart:12 Colors for Choose
Quantity:1 Bottle
Volume:Approx. 7.5ml
Ingredient:Resin
Long Period:About 2 Weeks Or Above
Effect:Sequins
Certification:SGS,MSDS,REACH
Curing Tools:UV Lamp or LED Lamp

Package Contents:
1 Bottle 7.5ml UR SUGAR Rose Gold Glitter Gel Polish

Unique Selling Proposition:
It made of healthy, environmental,friendly,no poisonous,pungent chemical materials.
It is quick drying with any UV Light.
Long lasting for at least 2-3 weeks, fantastic and super bright nails for you.
This nail gel polish is easy to apply and soak off.
Allow you for professional or home nail art design. 
A professional Nail Art Gift for yourself or your girlfriend.

Professional usage:
Step 1. Clean Nails then trim nail surface as normal manicures process. 
Step 2. Fully shake up the polish, it can make the gel polish color balanced. (Important)
Step 3. Apply Base coat first,which can make polish lasting longer, cure with UV lamp or LED lamp. (Necessary)
Step 4. Apply first layer of color gel directly, cure with UV lamp for 2 minutes or cure with LED lamp for 60 seconds.
Step 5. Apply second layer of color gel and then immediately cure with UV lamp for 2 minutes or cure with LED lamp for 60 seconds.
Step 6. Coat with no wipe topcoat,cured by UV lamp or LED lamp.

Remove Our UV Gel Nail Polish Step:
• Soak nails in a glass bowl filled with a small amount of pure acetone, or wrap each nail in cotton pad soaked with pure acetone for around 5 to 10 minutes. 
• Product will start to become soft and you can gently file it away or slide it off using a small wooden stick.

Warm Reminder:
1. NOTICE: Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately. (show the label whenever possible)
2. Keep tightly sealed. Keep out of sunlight. Keep out of reach of children.
 
","nail gel > glitter gel polish","https://www.bornprettystore.com/images/ProPho/45912/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45912/1.jpg, https://www.bornprettystore.com/images/ProPho/45912/2.jpg, https://www.bornprettystore.com/images/ProPho/45912/3.jpg, https://www.bornprettystore.com/images/ProPho/45912/4.jpg","358.8","45912","Как на изображении товара","Прибл. 7.5ml","1 бутылка","Блеск гель польский"
"6мл Хамелеон 3D Магнитный Аврора Серии Кошачий Глаз Лак для ногтей Nail Art Black Base Необходим","
 Specification:

Brand: BORN PRETTY

Quantity: 1 Bottle

Capacity: Approx. 6ml

Color: As the picture shows

 

Package Contents:

1 Bottle 6ml BORN PRETTY Holo Chameleon 3D Magnetic Nail Polish (Magnetic Board NOT included!)

 

Feature:

100% Brand new. 

The nail color in the sample picture is with : 1 layer base coat+ 1 layer 3D Magnetic Nail Polish (with Magnetic Board)+ top coat. 

Professional high quality nail polish ingredients which give glossy and long-lasting nail color.

Comes with brush making nail art fast and easy for everyone.

Allow you to create beautiful nail designs in short time.

 

Instructions:

1. Prepare your nails with BASE COAT, and wait it dry.

2. Apply the black color coat, wait it dry, then 2nd coat,wait it dry.(Darker base can help to get better chameleon effect)

3. Apply 3D magnetic nail polish.

4. Use the magnet stick close to nail immediately for at least 30s. The closer distance, the more obvious effect. But keep away from the polish. The effect is decided on the line of the magnet stick and the direction you put it.

5. Apply BORN PRETTY top coat, and use the magnet stick close to nail again for at least 30s.

NOTICE:
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)

 
","nail polish > cat eye nail polish","https://www.bornprettystore.com/images/ProPho/42398/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42398/1.jpg, https://www.bornprettystore.com/images/ProPho/42398/2.jpg, https://www.bornprettystore.com/images/ProPho/42398/3.jpg, https://www.bornprettystore.com/images/ProPho/42398/4.jpg","718.8","42398","Как на изображении товара","Прибл. 6ml","1 бутылка",""
"NICOLE DIARY Круглые ногтевые штамповочные пластины из нержавеющей стали серии Fire для ногтей Трафаретные инструменты","
 PRODUCT DESCRIPTION
Brand: NICOLE DIARY
Type: Stamp Plate
Quantity: 1 Pc
Size: 6cm * 6cm
Material: Stainless Steel
Type: Nail Art Stamping Plates

PACKAGE CONTENTS
1 Pc NICOLE DIARY Designer Nail Stamping Plates

HOW TO USE
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a stamping plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design.  The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion.  The image is transferred on your nail.  
6. Repeat the same steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear. 
 
","stamping nails > stamping plates > overprint collection","https://www.bornprettystore.com/images/ProPho/48013/dsc.jpg, https://www.bornprettystore.com/images/ProPho/48013/1.jpg, https://www.bornprettystore.com/images/ProPho/48013/2.jpg, https://www.bornprettystore.com/images/ProPho/48013/3.jpg, https://www.bornprettystore.com/images/ProPho/48013/4.jpg","238.8","48013","Как на изображении товара","","1 шт","Штамп"
"Штамповка Тарелки Французский Совет Изображение Квадратного Искусства Ногтя Шаблон BP-X35","
  Specification: 
100% new retail
Size: Approx. 6*6cm

Package Contents :
1pc BORN PRETTY Nail Stamping Plate 

Instructions: 
The plate is shielded by a thin transparent protective film, please remove the film before use, so that the nail polish can be transferred by the stamper. 
 Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the above steps for all of your nails. 
7. After nail art stamping, apply top coat for lasting wear.  
","stamping nails > stamping plates > geometry collection","https://www.bornprettystore.com/images/ProPho/40237/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40237/1.jpg, https://www.bornprettystore.com/images/ProPho/40237/2.jpg","334.8","40237","Как на изображении товара","","",""
"NEE JOLIE 8мл Не вытирать верхнее покрытие Замочить УФ-светодиодный гель для ногтей Лак для ногтей Длительный лак для ногтей Гель-лак","
 Specification:
Brand: NEE JOLIE
Quantity: 1 Bottle
Capacity: Approx. 8ml

Package Contents:
1 Bottle 8ml NEE JOLIE No Wipe Top Coat Gel

Feature:
UV Topcoat Dries With Any UV Light.
For A Super-Durable Finish.
Faster Drying.
Longer Lasting.
Higher Shine.
Suitable to apply on top of UV gel nails, acrylic nails, natural nails etc. To create a glossy finish.
Suitable for professional use or home use.

How to use:
1. Sharpen your nails with the nail file.
2. Apply the base coat and cure it.
3. Cure it.
4. Apply first layer of color coat.
5. Cure it.(Repeat the 4-5steps)
6. Apply top coat and cured it.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible) 
","nail gel > top base coat","https://www.bornprettystore.com/images/ProPho/47142/dsc.jpg, https://www.bornprettystore.com/images/ProPho/47142/1.jpg, https://www.bornprettystore.com/images/ProPho/47142/2.jpg, https://www.bornprettystore.com/images/ProPho/47142/3.jpg, https://www.bornprettystore.com/images/ProPho/47142/4.jpg","274.8","47142","Как на изображении товара","Прибл. 8ml","1 бутылка",""
"Штампер Скребок для ногтей Art Stamping Clear Stamp Мини-карта 5,5 х 4 см","
 Specification100% brand new
Material: Plastic
Size: 5.5cm x 4cm
Thickness:0.6mm
Quantity: 1/2/5/10pcs(optional)

Package Content:
1/2/5/10pcs BORN PRETTY scraper 
 

Usage:
This Scraper is used for nail art stamping! 
","stamping nails > stamper scraper","https://www.bornprettystore.com/images/ProPho/35957/dsc.jpg, https://www.bornprettystore.com/images/ProPho/35957/1.jpg, https://www.bornprettystore.com/images/ProPho/35957/2.jpg, https://www.bornprettystore.com/images/ProPho/35957/3.jpg, https://www.bornprettystore.com/images/ProPho/35957/4.jpg","118.8","35957","Как на изображении товара","","1/2/5 / 10pcs (дополнительно)",""
"Лак для ногтей 6 мл Holo Flourish серии Laser Glitter Nail Art Лак для ногтей","
 
Specification:

Brand: BORN PRETTY

Quantity: 1 Bottle

Capacity: Approx. 6ml

Color: As the pictures show

 

Package Contents:

1 Bottle 6ml BORN PRETTY Holo Nail Polish

 

Feature:

100% Brand new. 

The nail color in the sample picture is with : 1 layer base coat+ 2 layers colored polish+ top coat. 

Professional high quality nail polish ingredients which give glossy and long-lasting nail color.

Comes with brush making nail art fast and easy for everyone.

Allow you to create beautiful nail designs in short time.

NOTICE:
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately.(show the label whenever possible)


  
","nail polish > holographic nail polish","https://www.bornprettystore.com/images/ProPho/42514/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42514/1.jpg, https://www.bornprettystore.com/images/ProPho/42514/2.jpg, https://www.bornprettystore.com/images/ProPho/42514/3.jpg, https://www.bornprettystore.com/images/ProPho/42514/4.jpg","310.8","42514","Как на изображении товара","Прибл. 6ml","1 бутылка",""
"NICOLE DIARY Прямоугольные штампованные пластины из нержавеющей стали Flower Series Stamp Template ND-015","
 Specification:
100% new retail
Size: 12cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

Package Contents :
1 Pc NICOLE DIARY Designer Nail Stamping Plates

Feature :
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After stamping nail art, apply top coat for lasting wear. 
","stamping nails > stamping plates > flower collection","https://www.bornprettystore.com/images/ProPho/45082/dsc.jpg, https://www.bornprettystore.com/images/ProPho/45082/1.jpg, https://www.bornprettystore.com/images/ProPho/45082/2.jpg, https://www.bornprettystore.com/images/ProPho/45082/3.jpg, https://www.bornprettystore.com/images/ProPho/45082/4.jpg","358.8","45082","Как на изображении товара","","","Плиты штамповки ногтей"
"NICOLE DIARY Прямоугольные штамповки для ногтей Тарелки из нержавеющей стали Балет Nail Art Штамп трафареты 139","
 PRODUCT DESCRIPTION
Brand: NICOLE DIARY
Type: Stamp Plate
Quantity: 1 Pc
Size: 12cm * 6cm
Material: Stainless Steel
Type: Nail Art Stamping Plates

PACKAGE CONTENTS
1 Pc NICOLE DIARY Designer Nail Stamping Plates

HOW TO USE
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a stamping plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design.  The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion.  The image is transferred on your nail.  
6. Repeat the same steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear. 
 
","stamping nails > stamping plates > artist collection","https://www.bornprettystore.com/images/ProPho/48205/dsc.jpg, https://www.bornprettystore.com/images/ProPho/48205/1.jpg, https://www.bornprettystore.com/images/ProPho/48205/2.jpg, https://www.bornprettystore.com/images/ProPho/48205/3.jpg","358.8","48205","Как на изображении товара","","1 шт","Штамп"
"Рождество Снежинка Холо Фольга для ногтей Бумага для переноса рисунков для ногтей","
 Specification: 
100% brand new
Quantity: 1pc 
Pattern:As the picture shows
Size: 100cm(length), 4cm(width)
Can be used for UV nails
Nail Art Foils create the perfect ""mixed metals"" finish for any polish color.(Dark nail polish is better) 
Nail Foil can be removed easily with nail polish remover

How to use: 

1. Prepare your nail bed by shaping, pushing cuticles back and removing all oils (do this using professional nail prep eg scrub fresh or nail polish remover. 
2. Apply a base coat, and wait it dry. 
3. Apply nail polish(dark color is better), wait it dry, and apply the polish again, wait it dry(not totally dry, a gentle fingerprint is left on the nails when you press your finger on the nail) 
4. Press foil shiny side up, onto the nail and rub over using your finger, or for a better more precise application, use a rubber hoof stick. (for best results cut a piece of foil of the length just big enough for the nail, its easier to control and apply flat). Different colors of foils can mixed on the nails 
5. Remove the foil and the foil pattern should be stuch to your nail. If a bit is missing, just apply the top coat to the part not taken and repeat to step.4
6. Once completely dry, apply a coat to protect the foil.  
","stickers decals > nail foils","https://www.bornprettystore.com/images/ProPho/22930/dsc.jpg, https://www.bornprettystore.com/images/ProPho/22930/1.jpg, https://www.bornprettystore.com/images/ProPho/22930/2.jpg, https://www.bornprettystore.com/images/ProPho/22930/3.jpg, https://www.bornprettystore.com/images/ProPho/22930/4.jpg","154.8","22930","Как на изображении товара","","1шт",""
"Инструменты искусства ногтя окуная порошка 15ml жидкостные ясные искусства ногтя без ультрафиолетовой лампы","
 Specification: 
Brand: BORN PRETTY
Type: Dipping Nail Powder System Liquid
Color Chart: Clear
Quantity: 1 Bottle
Volume: Approx. 15ml
Feature: System Liquid for Dip nail Powder, No UV Lamp Needed, Healthy/Eco-Friendly

Package Contents:
1 Bottle 15ml BORN PRETTY Dipping Nail Powder System Liquid

Why Choose Our Dipping Nail Powder System Liquid?
100% new retail and high quality.
Longest lasting and faster drying.
No UV Lamp Needed.
Allow you for professional or home nail art design. 
A professional Nail Art Gift for yourself or your girlfriend.
#1 Base - Easily to apply dipping nail powder, longest lasting
#2 Activator - Fast-dry, no light curing needed
#3 Top - Ultimate bright, longest lasting
#4 Brush Saver - Clean the brush of Base/Activator/Top
#5 Base &amp; Top Coat 2 in 1 - Easily to apply dipping nail powder, longest lasting

How To Use Dipping Nail Powder System Liquid?
Step 1. Prepare you nail.
Step 2. Apply a thin coat of Dip Base.
Step 3. Dip tip of the entire nail into the dish.
Step 4. Brush off excess.
Step 5. Apply a second coat of Dip Base. 
Step 6. Dip tip of a nail into the dish to achieve desired smile line.
Step 7. Brush off excess Powder.
Step 8. Apply Dip Activator.
Step 9. Smooth and refine the surface with a buffer.
Step 10. Apply Top Coat.

 
","nail glitter > dipping nail powder","https://www.bornprettystore.com/images/ProPho/46263/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46263/1.jpg, https://www.bornprettystore.com/images/ProPho/46263/2.jpg, https://www.bornprettystore.com/images/ProPho/46263/3.jpg, https://www.bornprettystore.com/images/ProPho/46263/4.jpg","322.8","46263","Как на изображении товара"," Прибл. 15мл","1 бутылка","Жидкость для пудры"
"NICOLE DIARY Прямоугольник Штамповка Ногтей Плиты Из Нержавеющей Стали Природа Ногтей Штамп Шаблон 079","
 Specification:
100% new retail
Size: 12cm * 6cm
Material: stainless steel
Type: Nail Art Stamping Plates

Package Contents:
1 Pc NICOLE DIARY Designer Nail Stamping Plates

How to use:
1. Apply base coat or regular polish on the nail. 
2. Apply the nail polish to desired image within a stamping plate. (Recommended: Use the Solid Color Nail Polish, so that the texture will be thicker than other nail polish) 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside. 
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp. 
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail. 
6. Repeat the 5 steps for all of your nails. 
7. After nail art design, apply top coat for lasting wear. 
","stamping nails > stamping plates > flower collection","https://www.bornprettystore.com/images/ProPho/46146/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46146/1.jpg, https://www.bornprettystore.com/images/ProPho/46146/2.jpg, https://www.bornprettystore.com/images/ProPho/46146/3.jpg, https://www.bornprettystore.com/images/ProPho/46146/4.jpg","478.8","46146","Как на изображении товара","","","Плиты штамповки ногтей"
"NICOLE DIARY Прямоугольная Ногтей Штамповка Пластина Серии Из Нержавеющей Стали Nail Art Трафарет Инструменты","
 DETAILS:
NICOLE DIARY is a theme-based nail art brand founded in 2011 by ""NICOLE"", she believes that""Nail arts is one of the ways people can feel creative and artsy, as nail arts supposed to be. ""

""No matter where you are, no matter when it is, everywhere it happens,  Cause your dream is fancy !  "" NICOLE DIARY is committed to create passionate and personalized Stamping Series for customers, so that every nail experience is unique.  

PRODUCT DESCRIPTION:
Brand: NICOLE DIARY
Type: Stamp Plate
Quantity: 1 Pc
Size: 12cm * 6cm
Material: Stainless Steel

PACKAGE CONTENTS:
1 Pc NICOLE DIARY Stamping Plate

HOW TO USE:
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design. The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion. The image is transferred on your nail.  
6. Repeat the steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear.  
","stamping nails > stamping plates > geometry collection","https://www.bornprettystore.com/images/ProPho/47186/dsc.jpg, https://www.bornprettystore.com/images/ProPho/47186/1.jpg, https://www.bornprettystore.com/images/ProPho/47186/2.jpg, https://www.bornprettystore.com/images/ProPho/47186/3.jpg, https://www.bornprettystore.com/images/ProPho/47186/4.jpg","358.8","47186","Как на изображении товара","","1 шт","Штамп"
"US Warehouse Зеркальная пудра для ногтей Серебряный маникюр Nail Art Пигмент с хромированным блеском Пыль","
 Specification :
Quantity: 1 Box
Capacity: Approx. 0.5g/1g
Material: Powder
Color: As the pictures show

Package Contents:
1 box Nail powder

Feature:
100% brand new and high quality
Nail decoration 
Easy to apply on natural or artificial nails 

How to use:
Mirror Effect
1.Prepare your nails with base color and top coat
2.Use eyeshadow stick or silicone brush to pick the powder and burnish it onto your nails after the gel totally dry
3.Repeat the step untill you're satisfied with the effect
4.Seal it with top coat, cure under LED/UV lamp
 
","us warehouse > nail glitters","https://www.bornprettystore.com/images/ProPho/42317/dsc.jpg, https://www.bornprettystore.com/images/ProPho/42317/1.jpg, https://www.bornprettystore.com/images/ProPho/42317/2.jpg, https://www.bornprettystore.com/images/ProPho/42317/3.jpg, https://www.bornprettystore.com/images/ProPho/42317/4.jpg","838.8","42317","Как на изображении товара","Прибл. 0,5 г / 1 г","1 коробка",""
"NICOLE DIARY Квадратные Ногтевые Штамповки Плиты Нержавеющей Стали Цветок Ногтей Штамп Шаблон 093","
 PRODUCT DESCRIPTION
Brand: NICOLE DIARY         
Type: Stamp Plate
Quantity: 1 Pc
Size: 6cm * 6cm
Material: Stainless steel
Type: Nail Art Stamping Plates

PACKAGE CONTENTS
1 Pc NICOLE DIARY Designer Nail Stamping Plates

HOW TO USE
1. Apply base coat or regular polish on the nail.  
2. Apply the stamping polish to desired image within a stamping plate. 
3. Make a scraper leaned over 45 degrees and scrape excessive polish off quickly and strongly from inside to outside.  
4. Immediately press the stamper with a gentle rolling motion to pick up the design.  The image is transferred on the stamp.  
5. Stamp the image on your nail with a gentle rolling motion.  The image is transferred on your nail.  
6. Repeat the same steps for all of your nails.  
7. After the design is finished,  apply top coat for lasting wear.  
","stamping nails > stamping plates > flower collection","https://www.bornprettystore.com/images/ProPho/46447/dsc.jpg, https://www.bornprettystore.com/images/ProPho/46447/1.jpg, https://www.bornprettystore.com/images/ProPho/46447/2.jpg, https://www.bornprettystore.com/images/ProPho/46447/3.jpg, https://www.bornprettystore.com/images/ProPho/46447/4.jpg","274.8","46447","Как на изображении товара","","1 шт","Штамп"
"1 флакон 7.5 мл UR SUGAR Soak Off UV гель-лак для ногтей Purple Series Pure-Color Nail Art Гель-лак 697-712","
 Specification:
Capacity: 7.5ml
Quantity: 1 bottle
Color: 16 colors avalaible, as the pictures show

Package Contents:
1 Bottle 7.5ml UR SUGAR Nail UV Gel Polish

Feature:
100% new retail and high quality
Suitable to apply on UV gel nails, acrylic nails and natural nails etc.
Help strengthen your nails with a durable shiny coat.
Perfect for both professional use and personal use.

NOTICE: 
Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately(show the label whenever possible)
 
","nail gel > color gel polish","https://www.bornprettystore.com/images/ProPho/40919/dsc.jpg, https://www.bornprettystore.com/images/ProPho/40919/1.jpg, https://www.bornprettystore.com/images/ProPho/40919/2.jpg, https://www.bornprettystore.com/images/ProPho/40919/3.jpg, https://www.bornprettystore.com/images/ProPho/40919/4.jpg","358.8","40919","16 цветов доступны, как показывают фотографии","7.5ml","1 бутылка",""
